keyword,opportunity,demand,competition,provider_hits,naver_blog_total,google_total,naver_monthly_pc,naver_monthly_mobile,naver_cpc
부산 맛집 추천 최고 평점,0.671,1.265,1.1,1,872,,,,
부산 맛집 추천 리스트,0.551,1.265,1.22,1,10339,,,,
부산 맛집 추천 디시,0.551,1.265,1.22,1,236,,,,
부산 맛집 추천 더쿠,0.551,1.265,1.22,1,68,,,,
부산 맛집 추천 해줘,0.551,1.265,1.22,1,2714260,,,,
부산 서면 맛집 추천,0.551,1.265,1.22,1,27047,,,,
부산 송도 맛집 추천,0.551,1.265,1.22,1,5952,,,,
부산 광안리 맛집 추천,0.551,1.265,1.22,1,58016,,,,
부산 국제시장 맛집 추천,0.551,1.265,1.22,1,601586,,,,
부산 해운대 맛집 추천,0.551,1.265,1.22,1,69998,,,,
부산 맛집 추천,0.431,1.265,1.34,1,548835,,,,
부산 맛집 최고 평점,0.38,1.1,1.16,1,1200,,,,
부산 맛집 리스트 2025,0.38,1.1,1.16,1,412,,,,
부산 맛집 미슐랭,0.26,1.1,1.28,1,5192,,,,
부산 맛집 디시,0.26,1.1,1.28,1,375,,,,
부산 맛집 더쿠,0.26,1.1,1.28,1,113,,,,
부산 맛집 순위,0.26,1.1,1.28,1,6454,,,,
부산 맛집 클리앙,0.26,1.1,1.28,1,16,,,,
부산 맛집 지도,0.26,1.1,1.28,1,37283,,,,
부산 맛집 펨코,0.26,1.1,1.28,1,3,,,,
