keyword,opportunity,demand,competition,provider_hits,naver_blog_total,google_total,naver_monthly_pc,naver_monthly_mobile,naver_cpc
부산 맛집 펨코,0.689,1.1,0.851,1,3,,,,
부산 맛집 추천 더쿠,0.611,1.265,1.16,1,68,,,,
부산 맛집 클리앙,0.532,1.1,1.008,1,16,,,,
부산 맛집 추천 디시,0.477,1.265,1.294,1,236,,,,
부산 맛집 추천 최고 평점,0.336,1.265,1.435,1,872,,,,
부산 맛집 더쿠,0.326,1.1,1.214,1,113,,,,
부산 맛집 디시,0.196,1.1,1.344,1,375,,,,
부산 맛집 리스트 2025,0.186,1.1,1.354,1,412,,,,
부산 송도 맛집 추천,0.127,1.265,1.644,1,5952,,,,
부산 맛집 최고 평점,0.07,1.1,1.47,1,1200,,,,
부산 맛집 추천 리스트,0.067,1.265,1.704,1,10339,,,,
부산 맛집 추천,0.0,1.265,2.135,1,548833,,,,
부산 맛집 추천 해줘,0.0,1.265,2.3,1,2714250,,,,
부산 서면 맛집 추천,0.0,1.265,1.808,1,27046,,,,
부산 광안리 맛집 추천,0.0,1.265,1.891,1,58016,,,,
부산 국제시장 맛집 추천,0.0,1.265,2.145,1,601585,,,,
부산 해운대 맛집 추천,0.0,1.265,1.911,1,69996,,,,
부산 맛집 미슐랭,0.0,1.1,1.629,1,5192,,,,
부산 맛집 순위,0.0,1.1,1.652,1,6454,,,,
부산 맛집 지도,0.0,1.1,1.843,1,37283,,,,
